"user_id","vis_type","model_type","color_ramp_index","target_value","selected_value","aesthetic_rating","trial_number"
"14","scatter","designer","4","7","6","0","35"
"14","choropleth","bayesian","10","0","0","0","36"
"14","heatmap","bayesian","11","3","2","0","37"
"14","heatmap","designer","17","1","2","0","38"
"15","choropleth","designer","12","2","4","0","0"
"15","choropleth","bayesian","18","6","6","47","1"
"15","heatmap","linear","4","7","7","37","2"
"15","choropleth","kmeans","13","6","7","42","3"
"15","scatter","bayesian","23","6","3","0","4"
"15","choropleth","kmeans","7","7","8","0","5"
"15","scatter","linear","5","0","0","29","6"
"15","heatmap","designer","2","8","8","0","7"
"15","choropleth","linear","22","6","7","0","8"
"15","scatter","bayesian","21","3","3","0","9"
"15","choropleth","engagement","0","8","8","0","10"
"15","choropleth","bayesian","11","6","5","0","11"
"15","scatter","designer","6","8","8","46","12"
"15","choropleth","designer","7","8","8","77","13"
"15","heatmap","bayesian","20","6","6","0","14"
"15","heatmap","bayesian","16","1","2","0","15"
"15","heatmap","engagement","0","8","8","0","16"
"15","scatter","kmeans","11","1","1","0","17"
"15","choropleth","bayesian","3","4","5","0","18"
"15","choropleth","designer","5","4","5","0","19"
"15","scatter","kmeans","19","6","5","99","20"
"15","scatter","linear","3","5","5","0","21"
"15","scatter","designer","16","2","5","0","22"
"15","choropleth","linear","8","3","3","0","23"
"15","heatmap","bayesian","1","1","2","-21","24"
"15","heatmap","linear","9","5","6","0","25"
"15","heatmap","designer","4","3","5","31","26"
"15","heatmap","designer","22","3","5","0","27"
"15","choropleth","linear","19","3","2","0","28"
"15","scatter","linear","14","0","0","-35","29"
"15","choropleth","kmeans","3","6","7","0","30"
"15","scatter","kmeans","25","2","3","45","31"
"15","scatter","bayesian","25","0","0","53","32"
"15","heatmap","kmeans","9","7","7","15","33"
"15","heatmap","linear","16","3","4","-91","34"
"15","scatter","designer","24","6","6","0","35"
"15","heatmap","kmeans","1","5","6","-13","36"
"15","heatmap","kmeans","12","4","5","29","37"
"15","scatter","engagement","0","8","8","47","38"
"16","choropleth","engagement","0","8","8","-56","0"
"16","choropleth","kmeans","3","1","1","39","1"
"16","choropleth","bayesian","12","5","6","0","2"
"16","heatmap","kmeans","1","4","6","-41","3"
"16","choropleth","bayesian","22","6","6","-100","4"
