InstutionName	City	Tuition	InstitutionType
Modesto Junior College	Modesto	7545	Public
Moler Barber College	Oakland	12113	Private
Middlebury Institute of International Studies at Monterey	Monterey		Private
Monterey Peninsula College	Monterey	7753	Public
Moorpark College	Moorpark	2636	Public
Mt San Antonio College	Walnut	3000	Public
Mount Saint Mary's University	Los Angeles	26701	Private
Mt San Jacinto Community College District	San Jacinto	5926	Public
Mueller College	San Diego	29066	Private
Musicians Institute	Hollywood	36437	Private
Napa Valley College	Napa	9450	Public
Everest College-Reseda	Reseda	22377	Private
Everest College-Gardena	Gardena	27378	Private
Everest College-Alhambra	Alhambra	24893	Private
Everest College-San Bernardino	San Bernardino	23617	Private
The National Hispanic University	San Jose	11587	Private
National Holistic Institute	Emeryville	23602	Private
National University	La Jolla	23998	Private
Newschool of Architecture and Design	San Diego	32936	Private
Newberry School of Beauty	Granada Hills	10749	Private
North Adrian's College of Beauty Inc	Modesto	14395	Private
North-West College-Pomona	Pomona	21807	Private
North-West College-West Covina	West Covina	21339	Private
North-West College-Pasadena	Pasadena	21516	Private
Notre Dame de Namur University	Belmont	25574	Private
Occidental College	Los Angeles	28787	Private
Oceanside College of Beauty	Oceanside	10642	Private
Ohlone College	Fremont	9948	Public
Orange Coast College	Costa Mesa	9067	Public
Otis College of Art and Design	Los Angeles	33908	Private
Oxnard College	Oxnard	3241	Public
Hope International University	Fullerton	21546	Private
Concorde Career College-San Diego	San Diego	21661	Private
Palo Alto University	Palo Alto		Private
Pacific Lutheran Theological Seminary	Berkeley		Private
Pacific Oaks College	Pasadena		Private
Pacific School of Religion	Berkeley		Private
Pacific States University	Los Angeles		Private
Pacific Union College	Angwin	22176	Private
University of the Pacific	Stockton	30202	Private
Palo Verde College	Blythe	9877	Public
Palomar College	San Marcos	3591	Public
Paris Beauty College	Concord	10533	Private
Pasadena City College	Pasadena	1824	Public
Pepperdine University	Malibu	26876	Private
Pitzer College	Claremont	27624	Private
Platt College-San Diego	San Diego	37078	Private
Point Loma Nazarene University	San Diego	30913	Private
Pomona College	Claremont	13777	Private
Porterville College	Porterville	2443	Public
Westwood College-South Bay	Torrance	22622	Private
Professional Institute of Beauty	El Monte	13140	Private
Santa Ana College	Santa Ana	4092	Public
Pardee RAND Graduate School	Santa Monica		Private
Shasta School of Cosmetology	Redding	8294	Private
University of Redlands	Redlands	27538	Private
College of the Redwoods	Eureka	4991	Public
Salon Success Academy-Upland	Upland	11238	Private
Salon Success Academy-Corona	Corona	11577	Private
Rio Hondo College	Whittier	4609	Public
Riverside City College	Riverside	6466	Public
Argosy University-San Francisco Bay Area	Alameda		Private
Rosemead Beauty School	Rosemead	4874	Private
